ICAO;YEAR;TRAFFIC
ENGM;2023;14958
ENHD;2016;3485
ENHD;2017;3075
ENHD;2018;3062
ENHD;2019;3111
ENHD;2020;1860
ENHD;2021;2450
ENHD;2022;3692
ENHD;2023;577
ENVA;2016;28720
ENVA;2017;28312
ENVA;2018;27325
ENVA;2019;26971
ENVA;2020;16827
ENVA;2021;19628
ENVA;2022;27159
ENVA;2023;4054
ENZV;2016;33825
ENZV;2017;31872
ENZV;2018;31707
ENZV;2019;32996
ENZV;2020;21146
ENZV;2021;22211
ENZV;2022;29978
ENZV;2023;4501
EPBY;2016;1640
EPBY;2017;1666
EPBY;2018;2082
EPBY;2019;2211
EPBY;2020;1051
EPBY;2021;1056
EPBY;2022;1730
EPBY;2023;288
EPGD;2016;18906
EPGD;2017;20095
EPGD;2018;21548
EPGD;2019;22554
EPGD;2020;10790
EPGD;2021;12719
EPGD;2022;20425
EPGD;2023;2788
EPKK;2016;22513
EPKK;2017;24837
EPKK;2018;27458
EPKK;2019;31639
EPKK;2020;13548
EPKK;2021;16448
EPKK;2022;28693
EPKK;2023;4371
EPKT;2016;14099
EPKT;2017;15870
EPKT;2018;18749
EPKT;2019;18899
EPKT;2020;8642
EPKT;2021;12277
EPKT;2022;18356
EPKT;2023;2209
EPLB;2016;1634
EPLB;2017;2005
EPLB;2018;2139
EPLB;2019;1643
EPLB;2020;840
EPLB;2021;912
EPLB;2022;1770
EPLB;2023;191
EPLL;2016;2347
EPLL;2017;1979
EPLL;2018;1872
EPLL;2019;1872
EPLL;2020;1168
EPLL;2021;1533
EPLL;2022;1767
EPLL;2023;320
EPMO;2016;9501
EPMO;2017;9376
EPMO;2018;9840
EPMO;2019;9887
EPMO;2020;4279
EPMO;2021;6529
EPMO;2022;10631
EPMO;2023;1360
EPPO;2016;9198
EPPO;2017;9704
EPPO;2018;12192
EPPO;2019;11542
EPPO;2020;5409
EPPO;2021;6917
EPPO;2022;11326
EPPO;2023;1500
EPRZ;2016;3976
EPRZ;2017;4091
EPRZ;2018;4636
EPRZ;2019;4327
EPRZ;2020;1997
EPRZ;2021;2121
EPRZ;2022;7153
EPRZ;2023;993
EPSC;2016;2548
EPSC;2017;2899
EPSC;2018;3096
EPSC;2019;3003
EPSC;2020;1620
EPSC;2021;1622
EPSC;2022;2536
EPSC;2023;367
EPWA;2016;76963
EPWA;2017;85603
EPWA;2018;93677
EPWA;2019;97098
EPWA;2020;39923
EPWA;2021;47312
EPWA;2022;72413
EPWA;2023;11039
EPWR;2016;12099
EPWR;2017;13299
EPWR;2018;15471
EPWR;2019;15610
EPWR;2020;6826
EPWR;2021;8695
EPWR;2022;13195
EPWR;2023;1832
ESGG;2016;35281
ESGG;2017;36308
ESGG;2018;36239
ESGG;2019;34627
ESGG;2020;12043
ESGG;2021;13610
ESGG;2022;23718
ESGG;2023;3524
ESSA;2016;117256
ESSA;2017;124421
ESSA;2018;121875
ESSA;2019;116507
ESSA;2020;43065
ESSA;2021;45516
ESSA;2022;85215
ESSA;2023;13384
ESSB;2016;26408
ESSB;2017;26624
ESSB;2018;27268
ESSB;2019;25894
ESSB;2020;9310
ESSB;2021;11123
ESSB;2022;16415
ESSB;2023;2656
EVRA;2016;33858
EVRA;2017;37226
EVRA;2018;41536
EVRA;2019;43322
EVRA;2020;17587
EVRA;2021;19143
EVRA;2022;27307
EVRA;2023;4055
EYKA;2016;3559
EYKA;2017;5621
EYKA;2018;4408
EYKA;2019;4774
EYKA;2020;2882
EYKA;2021;3303
EYKA;2022;5003
EYKA;2023;786
EYPA;2016;1783
EYPA;2017;2042
EYPA;2018;2083
EYPA;2019;2140
EYPA;2020;1040
EYPA;2021;832
EYPA;2022;1682
EYPA;2023;257
EYSA;2016;881
EYSA;2017;995
EYSA;2018;1144
EYSA;2019;1355
EYSA;2020;1432
EYSA;2021;1396
EYSA;2022;1891
EYSA;2023;218
EYVI;2016;20343
EYVI;2017;19329
EYVI;2018;23237
EYVI;2019;23374
EYVI;2020;10163
EYVI;2021;11854
EYVI;2022;18019
EYVI;2023;2397
GCFV;2016;22229
GCFV;2017;23540
GCFV;2018;25296
GCFV;2019;23203
GCFV;2020;11936
GCFV;2021;16414
GCFV;2022;23970
GCFV;2023;3792
GCGM;2016;715
GCGM;2017;746
GCGM;2018;837
GCGM;2019;928
GCGM;2020;793
GCGM;2021;986
GCGM;2022;1127
GCGM;2023;233
GCHI;2016;1665
GCHI;2017;1891
GCHI;2018;2308
GCHI;2019;2441
GCHI;2020;1858
GCHI;2021;2244
GCHI;2022;2640
GCHI;2023;346
GCLA;2016;7946
GCLA;2017;8531
GCLA;2018;10615
GCLA;2019;10975
GCLA;2020;6509
GCLA;2021;6583
GCLA;2022;10266
GCLA;2023;1592
GCLP;2016;54813
GCLP;2017;57961
GCLP;2018;63985
GCLP;2019;62126
GCLP;2020;32737
GCLP;2021;40808
GCLP;2022;59043
GCLP;2023;10552
GCRR;2016;26694
GCRR;2017;28997
GCRR;2018;29761
GCRR;2019;29569
GCRR;2020;14537
GCRR;2021;18679
GCRR;2022;31297
GCRR;2023;5277
GCTS;2016;32200
GCTS;2017;34252
GCTS;2018;34010
GCTS;2019;34334
GCTS;2020;14104
GCTS;2021;18678
GCTS;2022;35493
GCTS;2023;6944
GCXO;2016;26220
GCXO;2017;29073
GCXO;2018;35042
GCXO;2019;36289
GCXO;2020;21710
GCXO;2021;26012
GCXO;2022;33165
GCXO;2023;5043
GEML;2016;4109
GEML;2017;3693
GEML;2018;3734
GEML;2019;4595
GEML;2020;2399
GEML;2021;3785
GEML;2022;4767
GEML;2023;777
LATI;2016;11159
LATI;2017;12275
LATI;2018;12758
LATI;2019;14248
LATI;2020;7641
LATI;2021;13093
LATI;2022;19305
LATI;2023;2670
LBSF;2016;25307
LBSF;2017;28382
LBSF;2018;29809
LBSF;2019;30162
LBSF;2020;17510
LBSF;2021;19939
LBSF;2022;26491
LBSF;2023;4205
LCLK;2016;27158
LCLK;2017;31010
LCLK;2018;31997
LCLK;2019;30319
LCLK;2020;12123
LCLK;2021;19007
LCLK;2022;24752
LCLK;2023;3040
LCPH;2016;7980
LCPH;2017;8495
LCPH;2018;9339
LCPH;2019;9835
LCPH;2020;3673
LCPH;2021;6803
LCPH;2022;11180
LCPH;2023;1019
